"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1502","Get Table Cell value by Row and Column","","Thu Dec 04 17:44:32 UTC 2025","passed","Thu Dec 04 17:44:34 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","1509","should be able to click on a checkbox","","Thu Dec 04 17:44:18 UTC 2025","passed","Thu Dec 04 17:44:20 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","1676","Email input should be displayed","","Thu Dec 04 17:44:17 UTC 2025","passed","Thu Dec 04 17:44:18 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
"","337","Should be able to set virtual authenticator options","","Thu Dec 04 17:44:27 UTC 2025","passed","Thu Dec 04 17:44:27 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testVirtualOptions"
"","2988","Should switch to iFrame using id","","Thu Dec 04 17:44:22 UTC 2025","passed","Thu Dec 04 17:44:25 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithId"
"","543","Username field should have placeholder text","","Thu Dec 04 17:44:16 UTC 2025","passed","Thu Dec 04 17:44:17 UTC 2025","","com.cdTester.tests.selenium.web.elements.LoginTest","com.cdTester.tests.selenium.web.elements.LoginTest","username"
"","782","Should be able to print in landscape","","Thu Dec 04 17:44:25 UTC 2025","passed","Thu Dec 04 17:44:26 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestOrientation"
"","1731","Should be able to send keys to a focused element using Actions","","Thu Dec 04 17:44:12 UTC 2025","passed","Thu Dec 04 17:44:13 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","682","Parameterised test to get current URL of : ""https://www.selenium.dev/""","","Thu Dec 04 17:44:28 UTC 2025","passed","Thu Dec 04 17:44:29 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","1652","Parameterised test to get current URL of : ""https://docs.junit.org/current/user-guide/""","","Thu Dec 04 17:44:29 UTC 2025","passed","Thu Dec 04 17:44:30 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","2272","Should be able to get text from alert and accept it","","Thu Dec 04 17:44:20 UTC 2025","passed","Thu Dec 04 17:44:22 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertInformationTest"
"","1254","Should be able to select options from a single select list","","Thu Dec 04 17:44:26 UTC 2025","passed","Thu Dec 04 17:44:27 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","10907","Should be able to find box using implicit wait","","Thu Dec 04 17:44:01 UTC 2025","passed","Thu Dec 04 17:44:12 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","implicit"
"","586","Should be able to get window handle","","Thu Dec 04 17:44:31 UTC 2025","passed","Thu Dec 04 17:44:32 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","660","Browser title should be 'Selenium'","","Thu Dec 04 17:44:27 UTC 2025","failed","Thu Dec 04 17:44:28 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","2572","Should be able to left click an element using Actions","","Thu Dec 04 17:44:13 UTC 2025","passed","Thu Dec 04 17:44:16 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickLeft"
"","866","Should be able to save page as PDF","","Thu Dec 04 17:44:30 UTC 2025","passed","Thu Dec 04 17:44:31 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SavingTest","com.cdTester.tests.selenium.web.interactions.SavingTest","prints"
"","583","Should be able to navigate to a URL using the driver.get() method","","Thu Dec 04 17:44:32 UTC 2025","passed","Thu Dec 04 17:44:32 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserGet"
