"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1688","Should be able to copy and paste using Actions","","Fri Dec 05 18:32:27 UTC 2025","passed","Fri Dec 05 18:32:29 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","copyPaste"
"","461","Get column number by header name in a table without a <thead>","","Fri Dec 05 18:34:17 UTC 2025","passed","Fri Dec 05 18:34:17 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","colNumberByHeaderWithoutTHead"
"","2574","Should switch to iFrame using name","","Fri Dec 05 18:33:47 UTC 2025","passed","Fri Dec 05 18:33:50 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithName"
"","626","Should be able set print page range","","Fri Dec 05 18:33:53 UTC 2025","passed","Fri Dec 05 18:33:53 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestRange"
"","4860","Should be able to Upload a png file","","Fri Dec 05 18:32:56 UTC 2025","failed","Fri Dec 05 18:33:01 UTC 2025","","com.cdTester.tests.selenium.web.elements.FileUploadTest","com.cdTester.tests.selenium.web.elements.FileUploadTest","fileUploadTest"
"","326","Should be able to set virtual authenticator options","","Fri Dec 05 18:34:02 UTC 2025","passed","Fri Dec 05 18:34:02 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testVirtualOptions"
"","409","Should be able to change the window size","","Fri Dec 05 18:34:08 UTC 2025","passed","Fri Dec 05 18:34:08 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowSize"
"","2699","Should be able to move mouse pointer to a relative location using Actions API","","Fri Dec 05 18:32:52 UTC 2025","passed","Fri Dec 05 18:32:54 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","relativeLocation"
"","1546","Should be able to get the CSS values  an element","","Fri Dec 05 18:33:04 UTC 2025","passed","Fri Dec 05 18:33:05 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getCssValue"
"","340","Should be able to remove all credentials","","Fri Dec 05 18:34:04 UTC 2025","passed","Fri Dec 05 18:34:04 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testRemoveAllCredentials"
"","1579","Should be able to send keys to an element using Actions","","Fri Dec 05 18:32:32 UTC 2025","passed","Fri Dec 05 18:32:34 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysToElement"
"","2748","Should be able to double click an element using Actions","","Fri Dec 05 18:32:34 UTC 2025","passed","Fri Dec 05 18:32:36 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickDouble"
"","700","Parameterised test to get current URL of : ""https://www.selenium.dev/""","","Fri Dec 05 18:34:05 UTC 2025","passed","Fri Dec 05 18:34:05 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","2686","Should switch to iFrame using id","","Fri Dec 05 18:33:44 UTC 2025","passed","Fri Dec 05 18:33:47 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithId"
"","474","Should be able to switch to a new tab using window handles","","Fri Dec 05 18:34:10 UTC 2025","passed","Fri Dec 05 18:34:10 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","SwitchToNewTab"
"","347","Should be able to remove a virtual authenticator","","Fri Dec 05 18:34:02 UTC 2025","passed","Fri Dec 05 18:34:03 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testRemoveAuthenticator"
"","4572","Should be able to enter text into multiple prompts and accept them","","Fri Dec 05 18:33:23 UTC 2025","passed","Fri Dec 05 18:33:28 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","multiplePromptInputsTest"
"","452","Should be able to add a same site cookie","","Fri Dec 05 18:34:11 UTC 2025","passed","Fri Dec 05 18:34:11 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","sameSiteCookie"
"","491","Get row number by cell value that repeats in other rows","","Fri Dec 05 18:34:19 UTC 2025","passed","Fri Dec 05 18:34:20 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","rowNumberByCellValueDuplicate"
"","446","Get column number by header name in a table with <thead>","","Fri Dec 05 18:34:20 UTC 2025","passed","Fri Dec 05 18:34:20 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","colNumberByHeaderWithTHead"
"","888","Should be able set print scale","","Fri Dec 05 18:33:52 UTC 2025","passed","Fri Dec 05 18:33:53 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestScale"
"","652","Should be able shrink the scale to fit on a page","","Fri Dec 05 18:33:54 UTC 2025","passed","Fri Dec 05 18:33:55 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestShrinkToFit"
"","1557","should be able to click on a checkbox","","Fri Dec 05 18:33:12 UTC 2025","passed","Fri Dec 05 18:33:13 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","4626","Should be able to click and hold","","Fri Dec 05 18:32:44 UTC 2025","passed","Fri Dec 05 18:32:49 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickAndHold"
"","1436","Get Table Cell value by Row and Column","","Fri Dec 05 18:34:18 UTC 2025","passed","Fri Dec 05 18:34:19 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","443","Should be able to get the position and dimensions of an element","","Fri Dec 05 18:33:10 UTC 2025","passed","Fri Dec 05 18:33:10 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getRect"
"","335","Should be able to create a virtual authenticator using U2F protocol","","Fri Dec 05 18:34:02 UTC 2025","passed","Fri Dec 05 18:34:02 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testCreateAuthenticator"
"","1184","Should be able to print current page using BrowsingContext interface","","Fri Dec 05 18:33:53 UTC 2025","passed","Fri Dec 05 18:33:54 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","PrintWithBrowsingContextTest"
"","2549","Should switch to iFrame using index","","Fri Dec 05 18:33:42 UTC 2025","passed","Fri Dec 05 18:33:44 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithIndex"
"","545","Browser title should be 'Selenium'","","Fri Dec 05 18:34:04 UTC 2025","passed","Fri Dec 05 18:34:05 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","8548","Should fail to find box without waits","","Fri Dec 05 18:32:06 UTC 2025","passed","Fri Dec 05 18:32:15 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","noWaits"
"","2747","Should be able to right click an element using Actions","","Fri Dec 05 18:32:49 UTC 2025","passed","Fri Dec 05 18:32:52 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickRight"
"","336","Should be able to remove a non-resident credential","","Fri Dec 05 18:34:03 UTC 2025","passed","Fri Dec 05 18:34:03 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testRemoveCredential"
"","403","Should be able to switch to a new tab using newWindow","","Fri Dec 05 18:34:10 UTC 2025","passed","Fri Dec 05 18:34:10 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","opensNewTab"
"","371","Should be able to delete a cookie","","Fri Dec 05 18:34:12 UTC 2025","passed","Fri Dec 05 18:34:12 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","deleteCookieObject"
"","375","Should be able to get a named cookie","","Fri Dec 05 18:34:13 UTC 2025","passed","Fri Dec 05 18:34:13 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","getNamedCookie"
"","384","Should be able to delete a named cookie","","Fri Dec 05 18:34:13 UTC 2025","passed","Fri Dec 05 18:34:13 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","deleteCookieNamed"
"","2579","Should be able to find box using implicit wait","","Fri Dec 05 18:32:19 UTC 2025","passed","Fri Dec 05 18:32:22 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","implicit"
"","2079","Should be able to click a link in an iframe that triggers an alert","","Fri Dec 05 18:33:29 UTC 2025","passed","Fri Dec 05 18:33:31 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","iframeAlertTest"
"","2580","Should be able to find box using fluent wait","","Fri Dec 05 18:32:25 UTC 2025","passed","Fri Dec 05 18:32:27 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","explicitWithOptions"
"","1467","Should be able to get an attribute of an element","","Fri Dec 05 18:33:07 UTC 2025","passed","Fri Dec 05 18:33:08 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getAttribute"
"","342","Should not be able to add a resident credential when setHasUserVerification=false","","Fri Dec 05 18:34:03 UTC 2025","passed","Fri Dec 05 18:34:04 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","residentCredentialNotSupportedWhenSetHasUserVerificationFalse"
"","2509","Should be able to enter text into a prompt and accept it","","Fri Dec 05 18:33:37 UTC 2025","passed","Fri Dec 05 18:33:40 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","promptDisplayAndInputTest"
"","628","Should be refresh a page using the navigate().refresh() method","","Fri Dec 05 18:34:14 UTC 2025","passed","Fri Dec 05 18:34:15 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserRefresh"
"","2644","Should be able to find box using explicit wait","","Fri Dec 05 18:32:22 UTC 2025","passed","Fri Dec 05 18:32:25 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","explicit"
"","3153","Should be able to hover over an element using Actions","","Fri Dec 05 18:32:41 UTC 2025","passed","Fri Dec 05 18:32:44 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","hover"
"","1465","Email input should be displayed","","Fri Dec 05 18:33:02 UTC 2025","passed","Fri Dec 05 18:33:04 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
"","386","Should be able to delete all cookies","","Fri Dec 05 18:34:11 UTC 2025","passed","Fri Dec 05 18:34:12 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","deleteAllCookies"
"","925","Should be able to create a simple alert using JavaScriptExecutor","","Fri Dec 05 18:33:18 UTC 2025","passed","Fri Dec 05 18:33:19 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsAlerts"
"","2146","Should be able to click a link in a nested iframe that triggers an alert","","Fri Dec 05 18:33:31 UTC 2025","passed","Fri Dec 05 18:33:33 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","nestedIframeAlertTest"
"","2132","Should not be able to select a disabled option from a select list","","Fri Dec 05 18:33:58 UTC 2025","passed","Fri Dec 05 18:34:00 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","disabledOption"
"","366","Should be able to add a resident credential when setHasUserVerification=true","","Fri Dec 05 18:34:01 UTC 2025","passed","Fri Dec 05 18:34:02 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testCreateAndAddResidentialKey"
"","893","Should be able set page paper margins","","Fri Dec 05 18:33:50 UTC 2025","passed","Fri Dec 05 18:33:50 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestMargins"
"","4568","Should be able to find box using sleep","","Fri Dec 05 18:32:15 UTC 2025","passed","Fri Dec 05 18:32:19 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","sleep"
"","1409","Should be able to select multiple options from a multi select list","","Fri Dec 05 18:34:00 UTC 2025","passed","Fri Dec 05 18:34:01 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectMultipleOption"
"","1247","Should be able to select options from a single select list","","Fri Dec 05 18:33:57 UTC 2025","passed","Fri Dec 05 18:33:58 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","464","Get row number by cell value","","Fri Dec 05 18:34:17 UTC 2025","passed","Fri Dec 05 18:34:18 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","rowNumberByCellValue"
"","928","Should be able to create an alert with an option to cancel using JavaScriptExecutor","","Fri Dec 05 18:33:28 UTC 2025","passed","Fri Dec 05 18:33:29 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsConfirmAlerts"
"","1482","Should be able to hold SHIFT key down whilst sending keys using Actions","","Fri Dec 05 18:32:30 UTC 2025","passed","Fri Dec 05 18:32:32 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","keyDown"
"","1453","Checkbox input should be checked","","Fri Dec 05 18:33:05 UTC 2025","passed","Fri Dec 05 18:33:07 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isSelected"
"","1521","Should be able to clear the text from an input field","","Fri Dec 05 18:33:15 UTC 2025","passed","Fri Dec 05 18:33:16 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clearText"
"","2013","Should not be able to read the default text in a prompt","","Fri Dec 05 18:33:33 UTC 2025","passed","Fri Dec 05 18:33:35 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","promptDefaultInputTest"
"","1496","Button input should be enabled","","Fri Dec 05 18:33:01 UTC 2025","passed","Fri Dec 05 18:33:02 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isEnabled"
"","1490","Should be able to send keys to a focused element using Actions","","Fri Dec 05 18:32:29 UTC 2025","passed","Fri Dec 05 18:32:30 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","667","Should be able to navigate to a URL using the navigate().to() method","","Fri Dec 05 18:34:13 UTC 2025","passed","Fri Dec 05 18:34:14 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserTo"
"","759","Should be able to navigate back using the navigate().back() method","","Fri Dec 05 18:34:16 UTC 2025","passed","Fri Dec 05 18:34:17 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserBack"
"","1748","Should be able to left click an element using Actions","","Fri Dec 05 18:32:54 UTC 2025","passed","Fri Dec 05 18:32:56 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickLeft"
"","523","Should be able to get all cookies","","Fri Dec 05 18:34:10 UTC 2025","passed","Fri Dec 05 18:34:11 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","getAllCookies"
"","613","Should be able to print in landscape","","Fri Dec 05 18:33:51 UTC 2025","passed","Fri Dec 05 18:33:52 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestOrientation"
"","1989","Should be able to accept an empty alert","","Fri Dec 05 18:33:40 UTC 2025","passed","Fri Dec 05 18:33:42 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertEmptyInformationTest"
