"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1515","Email input should be displayed","","Sat Nov 29 14:36:28 UTC 2025","passed","Sat Nov 29 14:36:29 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
"","349","Should be able to set virtual authenticator options","","Sat Nov 29 14:36:38 UTC 2025","passed","Sat Nov 29 14:36:38 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testVirtualOptions"
"","2219","Should be able to send keys to a focused element using Actions","","Sat Nov 29 14:36:22 UTC 2025","passed","Sat Nov 29 14:36:25 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","503","Username field should have placeholder text","","Sat Nov 29 14:36:27 UTC 2025","passed","Sat Nov 29 14:36:28 UTC 2025","","com.cdTester.tests.selenium.web.elements.LoginTest","com.cdTester.tests.selenium.web.elements.LoginTest","username"
"","7692","Should be able to find box using implicit wait","","Sat Nov 29 14:36:15 UTC 2025","broken","Sat Nov 29 14:36:22 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","implicit"
"","2513","Should be able to left click an element using Actions","","Sat Nov 29 14:36:25 UTC 2025","passed","Sat Nov 29 14:36:27 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickLeft"
"","2435","Should be able to get text from alert and accept it","","Sat Nov 29 14:36:31 UTC 2025","passed","Sat Nov 29 14:36:33 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertInformationTest"
"","1648","Parameterised test to get current URL of : ""https://docs.junit.org/current/user-guide/""","","Sat Nov 29 14:36:40 UTC 2025","passed","Sat Nov 29 14:36:41 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","559","Should be able to navigate to a URL using the driver.get() method","","Sat Nov 29 14:36:43 UTC 2025","passed","Sat Nov 29 14:36:43 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserGet"
"","1523","Get Table Cell value by Row and Column","","Sat Nov 29 14:36:43 UTC 2025","passed","Sat Nov 29 14:36:45 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","1332","Should be able to select options from a single select list","","Sat Nov 29 14:36:37 UTC 2025","passed","Sat Nov 29 14:36:38 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","646","Browser title should be 'Selenium'","","Sat Nov 29 14:36:38 UTC 2025","failed","Sat Nov 29 14:36:39 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","2742","Should switch to iFrame using id","","Sat Nov 29 14:36:33 UTC 2025","passed","Sat Nov 29 14:36:36 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithId"
"","1544","should be able to click on a checkbox","","Sat Nov 29 14:36:29 UTC 2025","passed","Sat Nov 29 14:36:31 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","464","Should be able to get window handle","","Sat Nov 29 14:36:42 UTC 2025","passed","Sat Nov 29 14:36:43 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","547","Parameterised test to get current URL of : ""https://www.selenium.dev/""","","Sat Nov 29 14:36:39 UTC 2025","passed","Sat Nov 29 14:36:40 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","842","Should be able to print in landscape","","Sat Nov 29 14:36:36 UTC 2025","passed","Sat Nov 29 14:36:37 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestOrientation"
"","1040","Should be able to save page as PDF","","Sat Nov 29 14:36:41 UTC 2025","passed","Sat Nov 29 14:36:42 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SavingTest","com.cdTester.tests.selenium.web.interactions.SavingTest","prints"
