"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","Should be able to switch to a new tab using window handles","","Fri Dec 05 18:47:32 UTC 2025","passed","Fri Dec 05 18:47:33 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","SwitchToNewTab"
"","1497","Should be able to get the tag name of an element","","Fri Dec 05 18:46:30 UTC 2025","passed","Fri Dec 05 18:46:31 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getTagName"
"","1531","Parameterised test to get current URL of : ""https://docs.junit.org/current/user-guide/""","","Fri Dec 05 18:47:28 UTC 2025","passed","Fri Dec 05 18:47:29 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","2543","Should be able to enter text into a prompt and accept it","","Fri Dec 05 18:46:58 UTC 2025","passed","Fri Dec 05 18:47:00 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","promptDisplayAndInputTest"
"","584","Browser title should be 'Selenium'","","Fri Dec 05 18:47:26 UTC 2025","passed","Fri Dec 05 18:47:27 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","998","Should be able to navigate back using the navigate().back() method","","Fri Dec 05 18:47:39 UTC 2025","passed","Fri Dec 05 18:47:40 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserBack"
"","964","Should be able to create a simple alert using JavaScriptExecutor","","Fri Dec 05 18:46:38 UTC 2025","passed","Fri Dec 05 18:46:39 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsAlerts"
"","635","Should be able to change the window size","","Fri Dec 05 18:47:30 UTC 2025","passed","Fri Dec 05 18:47:30 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowSize"
"","577","Should be able to navigate to a URL using the driver.get() method","","Fri Dec 05 18:47:37 UTC 2025","passed","Fri Dec 05 18:47:38 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserGet"
"","2791","Should be able to right click an element using Actions","","Fri Dec 05 18:46:11 UTC 2025","passed","Fri Dec 05 18:46:14 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickRight"
"","1496","Should be able to get an attribute of an element","","Fri Dec 05 18:46:26 UTC 2025","passed","Fri Dec 05 18:46:28 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getAttribute"
"","1366","Should be able to print current page using BrowsingContext interface","","Fri Dec 05 18:47:15 UTC 2025","passed","Fri Dec 05 18:47:16 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","PrintWithBrowsingContextTest"
"","2174","Should not be able to select a disabled option from a select list","","Fri Dec 05 18:47:20 UTC 2025","passed","Fri Dec 05 18:47:22 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","disabledOption"
"","647","Should be able shrink the scale to fit on a page","","Fri Dec 05 18:47:16 UTC 2025","passed","Fri Dec 05 18:47:17 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestShrinkToFit"
"","2892","Should switch to iFrame using index","","Fri Dec 05 18:47:02 UTC 2025","passed","Fri Dec 05 18:47:05 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithIndex"
"","1472","Get Table Cell value by Row and Column","","Fri Dec 05 18:47:41 UTC 2025","passed","Fri Dec 05 18:47:42 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","402","Should be able to get all cookies","","Fri Dec 05 18:47:33 UTC 2025","passed","Fri Dec 05 18:47:33 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","getAllCookies"
"","397","Should be able to add a resident credential when setHasUserVerification=true","","Fri Dec 05 18:47:23 UTC 2025","passed","Fri Dec 05 18:47:24 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testCreateAndAddResidentialKey"
"","1494","Should be able to select multiple options from a multi select list","","Fri Dec 05 18:47:22 UTC 2025","passed","Fri Dec 05 18:47:23 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectMultipleOption"
"","407","Should be able to delete all cookies","","Fri Dec 05 18:47:34 UTC 2025","passed","Fri Dec 05 18:47:34 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","deleteAllCookies"
"","2872","Should be able to find box using explicit wait","","Fri Dec 05 18:45:42 UTC 2025","passed","Fri Dec 05 18:45:45 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","explicit"
"","3480","Should be able to hover over an element using Actions","","Fri Dec 05 18:46:03 UTC 2025","passed","Fri Dec 05 18:46:06 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","hover"
"","2050","Should not be able to read the default text in a prompt","","Fri Dec 05 18:46:53 UTC 2025","passed","Fri Dec 05 18:46:55 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","promptDefaultInputTest"
"","396","Should be able to get a named cookie","","Fri Dec 05 18:47:35 UTC 2025","passed","Fri Dec 05 18:47:36 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","getNamedCookie"
"","658","Should be able set page paper size","","Fri Dec 05 18:47:17 UTC 2025","passed","Fri Dec 05 18:47:17 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestSize"
"","352","Should be able to create a virtual authenticator using U2F protocol","","Fri Dec 05 18:47:24 UTC 2025","passed","Fri Dec 05 18:47:24 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testCreateAuthenticator"
"","1481","Should be able to get text from an element","","Fri Dec 05 18:46:28 UTC 2025","passed","Fri Dec 05 18:46:29 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getText"
"","1520","Should be able to send keys to a focused element using Actions","","Fri Dec 05 18:45:50 UTC 2025","passed","Fri Dec 05 18:45:51 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","406","Should be able to get window handle","","Fri Dec 05 18:47:32 UTC 2025","passed","Fri Dec 05 18:47:32 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","1753","Should be able to create an alert with a prompt using JavaScriptExecutor","","Fri Dec 05 18:46:36 UTC 2025","passed","Fri Dec 05 18:46:38 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsPromptAlerts"
"","1500","Email input should be displayed","","Fri Dec 05 18:46:22 UTC 2025","passed","Fri Dec 05 18:46:23 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
"","1697","Button input should be enabled","","Fri Dec 05 18:46:20 UTC 2025","passed","Fri Dec 05 18:46:22 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isEnabled"
"","1299","Should be able to select options from a single select list","","Fri Dec 05 18:47:18 UTC 2025","passed","Fri Dec 05 18:47:20 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","385","Should be able to remove a virtual authenticator","","Fri Dec 05 18:47:24 UTC 2025","passed","Fri Dec 05 18:47:25 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testRemoveAuthenticator"
"","429","Should be able to switch to a new tab using newWindow","","Fri Dec 05 18:47:33 UTC 2025","passed","Fri Dec 05 18:47:33 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","opensNewTab"
"","1494","Checkbox input should be checked","","Fri Dec 05 18:46:25 UTC 2025","passed","Fri Dec 05 18:46:26 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isSelected"
"","712","Should be able to open a new window and switch to it","","Fri Dec 05 18:47:30 UTC 2025","passed","Fri Dec 05 18:47:31 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","opensNewWindow"
"","12971","Should fail to find box without waits","","Fri Dec 05 18:45:22 UTC 2025","passed","Fri Dec 05 18:45:35 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","noWaits"
"","3191","Should be able to double click an element using Actions","","Fri Dec 05 18:45:55 UTC 2025","passed","Fri Dec 05 18:45:58 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickDouble"
"","649","Should be able set print page range","","Fri Dec 05 18:47:14 UTC 2025","passed","Fri Dec 05 18:47:15 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestRange"
"","4576","Should be able to enter text into multiple prompts and accept them","","Fri Dec 05 18:46:43 UTC 2025","passed","Fri Dec 05 18:46:48 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","multiplePromptInputsTest"
