"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","530","Should be able to open a new window and switch to it","","Fri Dec 05 16:43:09 UTC 2025","passed","Fri Dec 05 16:43:09 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","opensNewWindow"
"","1649","Should be able to move mouse pointer to an absolute location using Pointer and Sequence API","","Fri Dec 05 16:41:53 UTC 2025","failed","Fri Dec 05 16:41:55 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","absoluteLocation"
"","2727","Should be able to right click an element using Actions","","Fri Dec 05 16:41:51 UTC 2025","passed","Fri Dec 05 16:41:53 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickRight"
"","358","Should not be able to add a resident credential when setHasUserVerification=false","","Fri Dec 05 16:43:04 UTC 2025","passed","Fri Dec 05 16:43:04 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","residentCredentialNotSupportedWhenSetHasUserVerificationFalse"
"","2637","Should switch to iFrame using name","","Fri Dec 05 16:42:47 UTC 2025","passed","Fri Dec 05 16:42:50 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithName"
"","1302","Should be able to select options from a single select list","","Fri Dec 05 16:42:57 UTC 2025","passed","Fri Dec 05 16:42:58 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","742","Should be able to save page as PDF","","Fri Dec 05 16:43:07 UTC 2025","passed","Fri Dec 05 16:43:08 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SavingTest","com.cdTester.tests.selenium.web.interactions.SavingTest","prints"
"","423","Should be able to get all cookies","","Fri Dec 05 16:43:11 UTC 2025","passed","Fri Dec 05 16:43:11 UTC 2025","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","getAllCookies"
"","351","Should be able to add a non-resident credential when setHasUserVerification=false","","Fri Dec 05 16:43:03 UTC 2025","passed","Fri Dec 05 16:43:04 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testCreateAndAddNonResidentialKey"
"","1492","Should be able to get the tag name of an element","","Fri Dec 05 16:42:10 UTC 2025","passed","Fri Dec 05 16:42:11 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","getTagName"
