"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","933","Should be able to save page as PDF","","Thu Dec 04 12:46:49 UTC 2025","passed","Thu Dec 04 12:46:50 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SavingTest","com.cdTester.tests.selenium.web.interactions.SavingTest","prints"
"","1611","Parameterised test to get current URL of : ""https://docs.junit.org/current/user-guide/""","","Thu Dec 04 12:46:47 UTC 2025","passed","Thu Dec 04 12:46:49 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","1269","Should be able to select options from a single select list","","Thu Dec 04 12:46:44 UTC 2025","passed","Thu Dec 04 12:46:45 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","630","Parameterised test to get current URL of : ""https://www.selenium.dev/""","","Thu Dec 04 12:46:47 UTC 2025","passed","Thu Dec 04 12:46:47 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","13441","Should be able to find box using implicit wait","","Thu Dec 04 12:46:16 UTC 2025","passed","Thu Dec 04 12:46:30 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","implicit"
"","920","Should be able to print in landscape","","Thu Dec 04 12:46:43 UTC 2025","passed","Thu Dec 04 12:46:44 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestOrientation"
"","696","Browser title should be 'Selenium'","","Thu Dec 04 12:46:46 UTC 2025","failed","Thu Dec 04 12:46:46 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","2280","Should be able to get text from alert and accept it","","Thu Dec 04 12:46:38 UTC 2025","passed","Thu Dec 04 12:46:40 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertInformationTest"
"","542","Username field should have placeholder text","","Thu Dec 04 12:46:34 UTC 2025","passed","Thu Dec 04 12:46:35 UTC 2025","","com.cdTester.tests.selenium.web.elements.LoginTest","com.cdTester.tests.selenium.web.elements.LoginTest","username"
"","2946","Should switch to iFrame using id","","Thu Dec 04 12:46:40 UTC 2025","passed","Thu Dec 04 12:46:43 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithId"
"","565","Should be able to navigate to a URL using the driver.get() method","","Thu Dec 04 12:46:50 UTC 2025","passed","Thu Dec 04 12:46:51 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserGet"
"","1501","should be able to click on a checkbox","","Thu Dec 04 12:46:37 UTC 2025","passed","Thu Dec 04 12:46:38 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","317","Should be able to set virtual authenticator options","","Thu Dec 04 12:46:45 UTC 2025","passed","Thu Dec 04 12:46:46 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testVirtualOptions"
"","2588","Should be able to left click an element using Actions","","Thu Dec 04 12:46:32 UTC 2025","passed","Thu Dec 04 12:46:34 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickLeft"
"","1546","Get Table Cell value by Row and Column","","Thu Dec 04 12:46:51 UTC 2025","passed","Thu Dec 04 12:46:52 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","1806","Should be able to send keys to a focused element using Actions","","Thu Dec 04 12:46:30 UTC 2025","passed","Thu Dec 04 12:46:32 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","594","Should be able to get window handle","","Thu Dec 04 12:46:50 UTC 2025","passed","Thu Dec 04 12:46:50 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","1607","Email input should be displayed","","Thu Dec 04 12:46:35 UTC 2025","passed","Thu Dec 04 12:46:36 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
